MSG_JOB_NAME_01	戰士
MSG_JOB_NAME_02	盜賊
MSG_JOB_NAME_03	武僧
MSG_JOB_NAME_04	赤魔法師
MSG_JOB_NAME_05	白魔法師
MSG_JOB_NAME_06	黑魔法師
MSG_JOB_NAME_07	騎士
MSG_JOB_NAME_08	忍者
MSG_JOB_NAME_09	高僧
MSG_JOB_NAME_10	赤魔導師
MSG_JOB_NAME_11	白魔導師
MSG_JOB_NAME_12	黑魔導師
MSG_JOB_INF_01	可以裝備各式武器與防具的職業
MSG_JOB_INF_02	用靈巧的動作將敵人玩弄於股掌間的職業
MSG_JOB_INF_03	擅長使用空手戰鬥的職業
MSG_JOB_INF_04	能夠同時學習白魔法與黑魔法的職業
MSG_JOB_INF_05	擅長使用白魔法輔助戰鬥的職業
MSG_JOB_INF_06	擅長使用黑魔法對敵人造成傷害的職業
MSG_MAGIC_NAME_01	<IC_WMGC>療傷
MSG_MAGIC_NAME_02	<IC_WMGC>淨化
MSG_MAGIC_NAME_03	<IC_WMGC>物防護
MSG_MAGIC_NAME_04	<IC_WMGC>閃躲
MSG_MAGIC_NAME_05	<IC_WMGC>復明
MSG_MAGIC_NAME_06	<IC_WMGC>沉默
MSG_MAGIC_NAME_07	<IC_WMGC>抗雷
MSG_MAGIC_NAME_08	<IC_WMGC>隱身
MSG_MAGIC_NAME_09	<IC_WMGC>中療傷
MSG_MAGIC_NAME_10	<IC_WMGC>中淨化
MSG_MAGIC_NAME_11	<IC_WMGC>抗火
MSG_MAGIC_NAME_12	<IC_WMGC>治癒
MSG_MAGIC_NAME_13	<IC_WMGC>解毒
MSG_MAGIC_NAME_14	<IC_WMGC>恐嚇
MSG_MAGIC_NAME_15	<IC_WMGC>抗寒
MSG_MAGIC_NAME_16	<IC_WMGC>發聲
MSG_MAGIC_NAME_17	<IC_WMGC>齊療傷
MSG_MAGIC_NAME_18	<IC_WMGC>復活
MSG_MAGIC_NAME_19	<IC_WMGC>大淨化
MSG_MAGIC_NAME_20	<IC_WMGC>中治癒
MSG_MAGIC_NAME_21	<IC_WMGC>解石
MSG_MAGIC_NAME_22	<IC_WMGC>脫出
MSG_MAGIC_NAME_23	<IC_WMGC>群護盾
MSG_MAGIC_NAME_24	<IC_WMGC>群隱身
MSG_MAGIC_NAME_25	<IC_WMGC>超療傷
MSG_MAGIC_NAME_26	<IC_WMGC>強淨化
MSG_MAGIC_NAME_27	<IC_WMGC>逆魔法
MSG_MAGIC_NAME_28	<IC_WMGC>大治癒
MSG_MAGIC_NAME_29	<IC_WMGC>大復活
MSG_MAGIC_NAME_30	<IC_WMGC>神聖
MSG_MAGIC_NAME_31	<IC_WMGC>抗魔
MSG_MAGIC_NAME_32	<IC_WMGC>驅魔
MSG_MAGIC_NAME_33	<IC_BMGC>火焰
MSG_MAGIC_NAME_34	<IC_BMGC>催眠
MSG_MAGIC_NAME_35	<IC_BMGC>集中
MSG_MAGIC_NAME_36	<IC_BMGC>雷電
MSG_MAGIC_NAME_37	<IC_BMGC>暴雪
MSG_MAGIC_NAME_38	<IC_BMGC>黑暗
MSG_MAGIC_NAME_39	<IC_BMGC>強打
MSG_MAGIC_NAME_40	<IC_BMGC>緩慢
MSG_MAGIC_NAME_41	<IC_BMGC>中火焰
MSG_MAGIC_NAME_42	<IC_BMGC>停頓
MSG_MAGIC_NAME_43	<IC_BMGC>中雷電
MSG_MAGIC_NAME_44	<IC_BMGC>中集中
MSG_MAGIC_NAME_45	<IC_BMGC>中催眠
MSG_MAGIC_NAME_46	<IC_BMGC>急速
MSG_MAGIC_NAME_47	<IC_BMGC>混亂
MSG_MAGIC_NAME_48	<IC_BMGC>中暴雪
MSG_MAGIC_NAME_49	<IC_BMGC>大火焰
MSG_MAGIC_NAME_50	<IC_BMGC>毒霧
MSG_MAGIC_NAME_51	<IC_BMGC>傳送
MSG_MAGIC_NAME_52	<IC_BMGC>中減速
MSG_MAGIC_NAME_53	<IC_BMGC>大雷電
MSG_MAGIC_NAME_54	<IC_BMGC>致死一擊
MSG_MAGIC_NAME_55	<IC_BMGC>地槌
MSG_MAGIC_NAME_56	<IC_BMGC>眩暈
