SPEAKER_01	???
SPEAKER_02	Astos
SPEAKER_03	Unne
SPEAKER_04	Garland
SPEAKER_05	Koppe
SPEAKER_06	Sadda
SPEAKER_07	Jeanne
SPEAKER_08	Forgeron
SPEAKER_09	Sarah
SPEAKER_10	Médecin
SPEAKER_11	Nerrick
SPEAKER_12	Bahamut
SPEAKER_13	Vampire
SPEAKER_14	Bikke
SPEAKER_15	Matoya
SPEAKER_16	Lukahn
SPEAKER_17	Watts
SPEAKER_18	Prince
SPEAKER_19	Roi
SPEAKER_20	Chancelier
MSG_OP_01	Le monde est plongé dans les ténèbres.
MSG_OP_02	Le vent s'essouffle...
MSG_OP_07	La mer s'épuise...
MSG_OP_08	La terre se meurt...
MSG_OP_03	Pourtant, les hommes sont convaincus qu'une prophétie est sur le point de s'accomplir.
MSG_OP_04	« Devant les ténèbres, quatre Guerriers de Lumière se dresseront. »
MSG_OP_05	Après un long périple, quatre jeunes aventuriers viennent justement d'arriver...
MSG_OP_06	... tenant chacun un Cristal dans la main.
MSG_KON_CTY_01	Vous êtes ici à Cornélia, la cité des rêves.
MSG_KON_CTY_02	Oh, bonjour ! Je suis danseuse. Comment ? Vous voulez danser avec moi ? Hé hé !
MSG_KON_CTY_03	Vous êtes toujours là ?<P>\nN'êtes-vous pas censés traverser le pont ? Vous devez vraiment avoir envie de danser avec moi. Hé hé !
MSG_KON_CTY_04	Pravoka est une ville portuaire. Les pirates qui rôdent là-bas pourraient bien avoir un Bateau.
MSG_KON_CTY_05	Avez-vous rencontré Matoya ? Elle est très ennuyée depuis qu'elle a perdu la vue.<P>\nIl paraît qu'elle vit de l'autre côté du pont, loin, loin au nord.
MSG_KON_CTY_06	Êtes-vous allés au Fort ouest ?<P>\nOn raconte que la Couronne des Galeries du marais pourrait rendre vie à ce fort...
MSG_KON_CTY_07	Hé ! Vous devriez apporter cette Couronne au roi du Fort ouest !<P>\nQuoique... Je reconnais qu'il y a quelque chose de suspect dans cette histoire...
MSG_KON_CTY_08	Quelqu'un a volé l'Œil de cristal de Matoya et elle ne l'a toujours pas retrouvé !
MSG_KON_CTY_09	Je parie que vous pourriez vous servir du Sel médicinal pour tirer le prince des elfes de son sommeil.
MSG_KON_CTY_10	Selon la légende, la Clé mystique permet d'ouvrir les portes qui sont verrouillées dans le château.
MSG_KON_CTY_11	Nerrick le nain est à la recherche d'un puissant explosif. Je me demande ce qu'il compte en faire...
MSG_KON_CTY_12	Je ne sais plus quoi vous dire... Et si nous dansions, cette fois ?! Hé hé !
MSG_KON_CTY_13	Restaurez l'éclat des Cristaux...
MSG_KON_CTY_14	Je vous en prie, sauvez notre princesse...
MSG_KON_CTY_15	Une sorcière nommée Matoya vit au nord de Cornélia.
MSG_KON_CTY_16	Lukahn, le prophète, nous a parlé d'un croissant de lune avant de quitter la ville.
MSG_KON_CTY_17	Pour voyager librement, vous allez avoir besoin d'un Bateau.<P>\nSi vous avez du mal à vous en procurer un, vous pouvez toujours « emprunter » celui des pirates...
MSG_KON_CTY_18	Le meilleur moyen de franchir les rivières, c'est de se servir d'un Canoë.<P>\nEnfin, c'est en tout cas ce que m'ont dit les sages de la Cité du croissant.
MSG_KON_CTY_19	Vous avez déjà entendu parler d'un Vaisseau capable de sillonner les airs ?<P>\nSelon les sages d'Elfia, c'est l'Aérolithe qui permettrait ce miracle.
MSG_KON_CTY_20	Il y a encore une chose qui vous empêche de devenir les vrais Guerriers de la Lumière...<P>\nJe veux parler de vos titres ! Pour l'instant, ils ne sont pas à la hauteur de vos exploits.<P>\nJ'ai entendu dire qu'un dragon qui se cache près d'Onlak gouverne l'attribution des titres.
MSG_KON_CTY_21	Alors comme ça, vous êtes allés à la Citadelle de l'épreuve ?<P>\nN'y avez-vous pas trouvé une marque de votre courage ?
MSG_KON_CTY_22	Vous avez une Queue de rat ?!<P>\nIncroyable ! Vous devriez vite rendre visite au roi des dragons.
MSG_KON_CTY_23	J'ai réfléchi à cette histoire de croissant. À mon avis il ne s'agit pas d'un croissant de lune.<P>\nQuelque chose me dit que c'est en fait le plan d'eau qui entoure la Cité du croissant.<P>\nMon petit doigt, peut-être...
MSG_KON_CTY_24	Je crains de ne pas avoir grand-chose à vous dire, cette fois.<P>\nSi vous restaurez l'éclat de l'un des Cristaux, il se passera peut-être quelque chose, qui sait ?
MSG_KON_CTY_25	Le roi croit vraiment à la prophétie de Lukahn...<P>\nSelon elle, les Guerriers de la Lumière vont venir sauver la princesse.
MSG_KON_CTY_27	Sauvez dame Sarah, s'il vous plaît !
MSG_KON_CTY_28	On dit que Matoya est myope comme une taupe !<P>\nElle est pratiquement aveugle sans son Œil de cristal.
MSG_KON_CTY_29	Autrefois, je vivais loin à l'est d'ici, dans la cité portuaire de Pravoka.<P>\nIl paraît que ce n'est plus qu'un repaire de pirates, depuis quelque temps.
MSG_KON_CTY_30	C'est un puits. On dirait que l'on peut grimper dedans... mais en fait, non !
MSG_KON_CTY_31	Vous contemplez votre reflet dans l'eau...<P>\nVous pourriez au moins vous rincer le visage !
MSG_MAP0A01_10	Le roi recherche désespérément les Guerriers de la Lumière dont parle la légende.<P>\nM-mais... Ces Cristaux ! Allez vite voir le roi !
MSG_KON_INN_01	Voulez-vous que je vous apprenne tout ce que je sais sur l'équipement ?
MSG_KON_INN_02	L'équipement se divise en deux grandes catégories : les armes et les armures.<P>\nLes armes ont pour effet d'augmenter l'attaque de ceux qui s'en équipent.<P>\nLes armures se répartissent en quatre sous-catégories : boucliers, casques, gants et armures de corps.<P>\nLes armes et les boucliers se tiennent dans les mains.<P>\nLes casques, gants et armures de corps se placent respectivement sur la tête, les mains et le corps.<P>\nMais retenez que vous devez vous équiper des armes et armures pour profiter de leurs effets.<P>\nUtilisez la commande « Optimal » pour vous équiper automatiquement des meilleures pièces de votre inventaire.
MSG_KON_INN_03	Aimeriez-vous que je vous enseigne les rudiments de la magie ?
MSG_KON_INN_04	Il existe deux écoles de magie : la magie noire et la magie blanche.<P>\nLa première est constituée de sorts offensifs, là où la seconde offre des sorts curatifs et de soutien.<P>\nChaque niveau de magie noire et de magie blanche contient quatre sorts différents.<P>\nCependant, un même personnage ne peut apprendre que trois des quatre sorts de chaque niveau.<P>\nEn cas de besoin, la commande « Jeter » vous permet d'oublier un sort que vous avez appris.<P>\nIl est par ailleurs tout à fait possible de réapprendre un sort que vous avez préalablement jeté.<P>\nDans tous les cas, tâchez de choisir une palette de sorts correspondant à votre style de combat !
MSG_KON_INN_05	Je suis une encyclopédie vivante en matière d'objets. Voulez-vous que je vous explique leur fonctionnement ?
